alpha,condition_number,rho,trial,lambda,pinv_error,tikhonov_error,pinv_amplification,tikhonov_amplification
2,100,0.01,12,1e-06,0.10476693946805951,0.10433228795399606,10.476693946805948,10.433228795399604
2,100,0.01,13,1e-06,0.11004047224418452,0.10946590090068731,11.004047224418454,10.946590090068732
2,100,0.01,14,1e-06,0.11517491661245216,0.11447120466664558,11.517491661245213,11.447120466664556
2,100,0.01,15,1e-06,0.10770559930658383,0.10719216992993429,10.770559930658385,10.719216992993431
2,100,0.01,16,1e-06,0.10285625726495991,0.10218077105024467,10.285625726495988,10.218077105024465
2,100,0.01,17,1e-06,0.11877780081817164,0.11842093063005982,11.877780081817164,11.842093063005981
2,100,0.01,18,1e-06,0.08549226259642698,0.08511805355087507,8.549226259642698,8.511805355087507
2,100,0.01,19,1e-06,0.10726230393198813,0.10695505021717074,10.726230393198813,10.695505021717073
4,10000,0.0001,0,1e-06,0.05992841059164237,0.45278650972649537,599.2841059164236,4527.865097264954
4,10000,0.0001,1,1e-06,0.06415050447285722,0.4365864366226362,641.5050447285722,4365.864366226362
4,10000,0.0001,2,1e-06,0.061929428232248535,0.4486128672357731,619.2942823224852,4486.12867235773
4,10000,0.0001,3,1e-06,0.05835764276216292,0.4657808047859247,583.5764276216293,4657.808047859247
4,10000,0.0001,4,1e-06,0.044405763704497794,0.4748870733798996,444.057637044978,4748.870733798996
4,10000,0.0001,5,1e-06,0.0813920221427789,0.4311009410308958,813.9202214277888,4311.009410308957
4,10000,0.0001,6,1e-06,0.07296325235841862,0.417881714843877,729.6325235841862,4178.817148438769
4,10000,0.0001,7,1e-06,0.05546145615267524,0.4333278939695903,554.6145615267524,4333.278939695903
4,10000,0.0001,8,1e-06,0.07146005118373754,0.4548038162547082,714.6005118373753,4548.038162547082
4,10000,0.0001,9,1e-06,0.05228890652289471,0.44715211763126617,522.8890652289471,4471.521176312662
4,10000,0.0001,10,1e-06,0.051602079418778826,0.48036164332965714,516.0207941877882,4803.616433296571
4,10000,0.0001,11,1e-06,0.060563680443458515,0.43722334128438606,605.6368044345851,4372.233412843861
4,10000,0.0001,12,1e-06,0.047413532988492414,0.4479842140787761,474.1353298849242,4479.842140787761
4,10000,0.0001,13,1e-06,0.052868376126958105,0.44665831079501156,528.683761269581,4466.583107950115
